Column,Mean,Std_Dev,RSD,Median,Max,Min
Label,3.3515,0.9843,29.37,4.0,4.0,0.0
533,0.6097,0.2694,44.18,0.6885,1.0,0.0
0,0.1453,0.2616,179.99,0.0127,0.9999999999999999,0.0
532,0.3892,0.2452,63.01,0.3694,1.0,0.0
7,0.1202,0.2112,175.67,0.0234,0.9999999999999999,0.0
Conf,0.7366,0.2087,28.33,0.6697,1.0,0.3333
537,0.4232,0.2017,47.67,0.3974,1.0,0.0
516,0.3399,0.1713,50.41,0.3214,1.0,0.0
523,0.57,0.158,27.72,0.573,1.0,0.0
517,0.4207,0.1501,35.68,0.4188,0.9999999999999999,0.0
535,0.4361,0.1395,32.0,0.4388,0.9999999999999999,0.0
522,0.5247,0.1389,26.47,0.5304,0.9999999999999998,0.0
515,0.255,0.1351,52.99,0.2327,1.0000000000000002,0.0
518,0.25,0.1342,53.67,0.2276,0.9999999999999999,0.0
199,0.0535,0.1334,249.48,0.0034,1.0,0.0
538,0.2242,0.1251,55.82,0.2077,1.0,0.0
536,0.2213,0.125,56.47,0.2049,0.9999999999999999,0.0
6,0.0617,0.1233,199.74,0.0106,1.0,0.0
534,0.2651,0.1224,46.14,0.2505,1.0,0.0
5,0.06,0.1182,196.97,0.0099,1.0,0.0
520,0.7408,0.1175,15.86,0.7596,1.0,0.0
4,0.0573,0.1145,199.67,0.0093,1.0,0.0
198,0.043,0.1112,258.84,0.002,1.0,0.0
56,0.0488,0.1104,226.48,0.0064,1.0,0.0
519,0.8912,0.1036,11.63,0.9219,1.0,0.0
20,0.0577,0.0999,173.2,0.0156,1.0,0.0
11,0.0536,0.0987,184.08,0.0123,1.0,0.0
14,0.0456,0.0975,213.56,0.0078,0.9999999999999999,0.0
58,0.0379,0.0965,254.82,0.0016,1.0,0.0
3,0.0458,0.0965,210.45,0.0065,0.9999999999999999,0.0
63,0.0215,0.0962,447.42,0.0,1.0,0.0
15,0.0403,0.0961,238.69,0.0049,1.0,0.0
57,0.0382,0.0954,250.15,0.0027,1.0,0.0
13,0.0492,0.095,192.95,0.0107,1.0,0.0
197,0.0372,0.094,252.9,0.0024,0.9999999999999999,0.0
1,0.0357,0.0938,262.87,0.0034,1.0,0.0
19,0.0541,0.0926,171.29,0.0156,1.0,0.0
12,0.05,0.0916,183.18,0.0118,1.0,0.0
2,0.0393,0.0908,230.89,0.0049,1.0,0.0
21,0.0469,0.0901,192.07,0.0104,1.0,0.0
207,0.026,0.0894,343.44,0.0001,1.0,0.0
36,0.0472,0.0893,189.12,0.0091,1.0,0.0
28,0.0489,0.0879,179.65,0.0122,1.0,0.0
37,0.04,0.0878,219.78,0.005,0.9999999999999999,0.0
23,0.0333,0.086,258.54,0.0026,1.0,0.0
29,0.0432,0.0855,198.01,0.0081,0.9999999999999999,0.0
22,0.0398,0.0854,214.54,0.0062,1.0,0.0
42,0.0439,0.0852,194.21,0.0081,1.0,0.0
514,0.912,0.0852,9.34,0.9379,1.0,0.0
27,0.0476,0.0843,177.13,0.0132,1.0,0.0
34,0.0472,0.084,177.75,0.0122,1.0,0.0
35,0.0458,0.0836,182.48,0.0111,0.9999999999999999,0.0
18,0.0463,0.0834,180.06,0.0127,1.0,0.0
205,0.0288,0.0829,287.86,0.0011,1.0,0.0
206,0.0273,0.0825,302.05,0.0004,1.0,0.0
60,0.029,0.0824,284.1,0.0002,1.0,0.0
26,0.047,0.0811,172.61,0.0135,1.0,0.0
30,0.0346,0.08,231.58,0.0039,1.0,0.0
51,0.0337,0.0799,236.68,0.0028,1.0,0.0
521,0.1022,0.0795,77.75,0.0818,1.0,0.0
59,0.0292,0.079,269.94,0.0006,0.9999999999999999,0.0
9,0.0364,0.0773,212.25,0.0068,1.0,0.0
135,0.0262,0.0766,291.85,0.0021,0.9999999999999999,0.0
62,0.0205,0.0765,373.43,0.0,1.0,0.0
61,0.024,0.0762,317.71,0.0,0.9999999999999999,0.0
10,0.0379,0.0758,199.97,0.0078,1.0,0.0
215,0.0182,0.0752,413.12,0.0,0.9999999999999999,0.0
196,0.0286,0.075,262.61,0.002,1.0,0.0
204,0.0283,0.0749,265.06,0.0016,0.9999999999999999,0.0
33,0.0387,0.0748,193.42,0.0094,0.9999999999999999,0.0
120,0.0246,0.0741,301.16,0.0019,0.9999999999999999,0.0
17,0.0386,0.0737,190.78,0.009,0.9999999999999999,0.0
43,0.0362,0.0732,202.26,0.0058,1.0,0.0
25,0.0385,0.073,189.41,0.0099,1.0,0.0
223,0.0148,0.0728,492.43,0.0,0.9999999999999999,0.0
73,0.0258,0.072,278.4,0.0024,1.0,0.0
214,0.0198,0.0713,360.02,0.0,1.0,0.0
44,0.0333,0.0704,211.59,0.004,1.0,0.0
41,0.0341,0.0702,205.5,0.0067,1.0,0.0
31,0.0253,0.0698,276.37,0.001,1.0,0.0
45,0.0282,0.0692,245.22,0.0019,1.0,0.0
39,0.0219,0.069,315.23,0.0002,1.0,0.0
211,0.0235,0.0689,293.07,0.0009,1.0,0.0
524,0.9672,0.0687,7.1,0.9903,1.0,0.0
71,0.0222,0.0684,308.56,0.0027,1.0,0.0
47,0.0193,0.0677,349.77,0.0,1.0,0.0
49,0.0302,0.0673,223.28,0.0041,1.0,0.0
40,0.0285,0.0669,234.72,0.0052,0.9999999999999999,0.0
219,0.0199,0.0665,334.31,0.0003,1.0,0.0
213,0.0204,0.0662,323.99,0.0002,1.0,0.0
230,0.0136,0.0661,485.11,0.0,1.0,0.0
203,0.0252,0.0659,261.92,0.0016,1.0,0.0
195,0.0233,0.0658,282.15,0.0016,1.0,0.0
70,0.0202,0.0655,324.55,0.0013,0.9999999999999999,0.0
46,0.0231,0.0655,283.6,0.0005,1.0,0.0
209,0.0231,0.0654,282.92,0.0013,1.0,0.0
52,0.025,0.0651,260.77,0.0013,1.0,0.0
222,0.0157,0.0645,411.42,0.0,1.0,0.0
212,0.0206,0.0642,311.07,0.0005,0.9999999999999999,0.0
54,0.0187,0.0641,343.6,0.0001,0.9999999999999999,0.0
220,0.0183,0.0637,347.35,0.0001,1.0,0.0
201,0.0227,0.0636,280.81,0.0016,1.0,0.0
231,0.0113,0.0635,561.15,0.0,0.9999999999999999,0.0
248,0.0186,0.0632,338.78,0.001,1.0,0.0
210,0.0217,0.0626,288.04,0.0011,1.0,0.0
38,0.0251,0.062,247.36,0.0016,1.0,0.0
512,0.0155,0.0617,397.1,0.0013,1.0,0.0
229,0.0142,0.0617,434.33,0.0,1.0,0.0
32,0.0259,0.061,235.49,0.0051,1.0,0.0
221,0.0165,0.0605,365.84,0.0,1.0,0.0
218,0.0188,0.0605,321.09,0.0005,1.0,0.0
104,0.0184,0.0604,327.65,0.0015,1.0,0.0
134,0.0173,0.0603,347.92,0.0008,0.9999999999999999,0.0
98,0.0178,0.0603,339.54,0.0001,1.0,0.0
55,0.0152,0.0603,397.88,0.0,0.9999999999999999,0.0
50,0.0273,0.0595,217.92,0.0033,1.0,0.0
68,0.0215,0.0588,273.61,0.0021,1.0,0.0
225,0.0157,0.0585,372.3,0.0003,1.0,0.0
260,0.019,0.0585,307.25,0.0014,1.0,0.0
67,0.0207,0.0581,280.36,0.0019,1.0,0.0
69,0.0195,0.0579,297.23,0.0016,1.0,0.0
99,0.0147,0.0567,384.47,0.0,1.0,0.0
